,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
10626,0.83,0.387,11,-12.418,0,0.139,0.539,0.0,0.075,0.497,117.993,audio_features,31FUO6PYWcal7MF4EqSdLs,spotify:track:31FUO6PYWcal7MF4EqSdLs,https://api.spotify.com/v1/tracks/31FUO6PYWcal7MF4EqSdLs,https://api.spotify.com/v1/audio-analysis/31FUO6PYWcal7MF4EqSdLs,202537,4,One More,Yaeji,dreampop
10627,0.395,0.597,4,-8.09,0,0.0397,0.451,0.0131,0.114,0.41,116.98,audio_features,4mDAxQGyDdpju78hGsACwn,spotify:track:4mDAxQGyDdpju78hGsACwn,https://api.spotify.com/v1/tracks/4mDAxQGyDdpju78hGsACwn,https://api.spotify.com/v1/audio-analysis/4mDAxQGyDdpju78hGsACwn,239295,4,My Love,maye,dreampop
10628,0.575,0.66,10,-12.256,1,0.211,0.844,5.89e-05,0.313,0.714,155.357,audio_features,1U0nWcWMR1gyHEHBvx5YpW,spotify:track:1U0nWcWMR1gyHEHBvx5YpW,https://api.spotify.com/v1/tracks/1U0nWcWMR1gyHEHBvx5YpW,https://api.spotify.com/v1/audio-analysis/1U0nWcWMR1gyHEHBvx5YpW,170975,4,You,dodie,dreampop
10629,0.524,0.745,0,-9.367,0,0.039,0.0538,0.0,0.155,0.741,170.011,audio_features,12uCHNPDQSDLMLVtz0zfEw,spotify:track:12uCHNPDQSDLMLVtz0zfEw,https://api.spotify.com/v1/tracks/12uCHNPDQSDLMLVtz0zfEw,https://api.spotify.com/v1/audio-analysis/12uCHNPDQSDLMLVtz0zfEw,158840,4,Tu Geografía,Indios,dreampop
10630,0.565,0.574,8,-7.738,1,0.0789,0.00333,0.0,0.291,0.829,186.061,audio_features,6gHsenqqwzj67gp1OzCIi2,spotify:track:6gHsenqqwzj67gp1OzCIi2,https://api.spotify.com/v1/tracks/6gHsenqqwzj67gp1OzCIi2,https://api.spotify.com/v1/audio-analysis/6gHsenqqwzj67gp1OzCIi2,114194,3,Pvp,Ken Ashcorp,dreampop
10631,0.628,0.748,10,-5.465,0,0.031,0.596,0.0127,0.141,0.66,104.0,audio_features,7viB8hBRR0lC5fWDpGd6uA,spotify:track:7viB8hBRR0lC5fWDpGd6uA,https://api.spotify.com/v1/tracks/7viB8hBRR0lC5fWDpGd6uA,https://api.spotify.com/v1/audio-analysis/7viB8hBRR0lC5fWDpGd6uA,245973,4,One Dream feat. Sam Ock,re:plus,dreampop
10632,0.815,0.462,9,-13.301,1,0.034,0.0508,0.204,0.106,0.963,89.554,audio_features,5aCzcLHtl7s9A4zhePQmec,spotify:track:5aCzcLHtl7s9A4zhePQmec,https://api.spotify.com/v1/tracks/5aCzcLHtl7s9A4zhePQmec,https://api.spotify.com/v1/audio-analysis/5aCzcLHtl7s9A4zhePQmec,173954,4,Someone To Spend Time With,Los Retros,dreampop
10633,0.84,0.438,8,-12.437,1,0.117,0.531,0.207,0.111,0.699,98.056,audio_features,0SYu7wDS7dJSnuyn5GEDpp,spotify:track:0SYu7wDS7dJSnuyn5GEDpp,https://api.spotify.com/v1/tracks/0SYu7wDS7dJSnuyn5GEDpp,https://api.spotify.com/v1/audio-analysis/0SYu7wDS7dJSnuyn5GEDpp,127922,4,All I Wanna Do,Jakob,dreampop
10634,0.64,0.548,7,-6.965,1,0.147,0.543,3.1e-06,0.303,0.181,148.077,audio_features,6gtNiLJNLBcV0P6Juenstp,spotify:track:6gtNiLJNLBcV0P6Juenstp,https://api.spotify.com/v1/tracks/6gtNiLJNLBcV0P6Juenstp,https://api.spotify.com/v1/audio-analysis/6gtNiLJNLBcV0P6Juenstp,212495,4,Biking (Solo),Frank Ocean,dreampop
10635,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,audio_features,4riDfclV7kPDT9D58FpmHd,spotify:track:4riDfclV7kPDT9D58FpmHd,https://api.spotify.com/v1/tracks/4riDfclV7kPDT9D58FpmHd,https://api.spotify.com/v1/audio-analysis/4riDfclV7kPDT9D58FpmHd,118393,4,Some,Steve Lacy,dreampop
