,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
6808,0.698,0.392,4,-13.929,1,0.184,0.664,0.0,0.498,0.86,160.833,audio_features,24Vlue2KC3xbiLuSp4pNCG,spotify:track:24Vlue2KC3xbiLuSp4pNCG,https://api.spotify.com/v1/tracks/24Vlue2KC3xbiLuSp4pNCG,https://api.spotify.com/v1/audio-analysis/24Vlue2KC3xbiLuSp4pNCG,139187,4,I’ve Been Working On My Letters,Kiboomu,kids
6809,0.741,0.531,8,-9.288,1,0.18,0.368,0.0,0.66,0.967,113.394,audio_features,1mHHHsnQ9XQsCf1qMEqH37,spotify:track:1mHHHsnQ9XQsCf1qMEqH37,https://api.spotify.com/v1/tracks/1mHHHsnQ9XQsCf1qMEqH37,https://api.spotify.com/v1/audio-analysis/1mHHHsnQ9XQsCf1qMEqH37,154107,4,Does Your Chewing Gum Lose Its Flavor On The Bedpost Overnight?,The Re-Bops,kids
6810,0.603,0.216,3,-18.193,1,0.0382,0.752,0.0,0.0973,0.637,163.06,audio_features,2NrCGt0r8Utzpg1uMSr3Sz,spotify:track:2NrCGt0r8Utzpg1uMSr3Sz,https://api.spotify.com/v1/tracks/2NrCGt0r8Utzpg1uMSr3Sz,https://api.spotify.com/v1/audio-analysis/2NrCGt0r8Utzpg1uMSr3Sz,141227,3,Together Tomorrow,Tom Chapin,kids
6811,0.542,0.28,0,-8.254,1,0.0351,0.848,0.0,0.117,0.339,121.628,audio_features,2NZdIV0Cy7gTqNP6rSqypd,spotify:track:2NZdIV0Cy7gTqNP6rSqypd,https://api.spotify.com/v1/tracks/2NZdIV0Cy7gTqNP6rSqypd,https://api.spotify.com/v1/audio-analysis/2NZdIV0Cy7gTqNP6rSqypd,248227,4,Time After Time,Radha,kids
6812,0.485,0.545,9,-7.955,1,0.0438,0.479,0.0,0.104,0.239,150.097,audio_features,6ui5iWxMFbEyZ7ddunFHeT,spotify:track:6ui5iWxMFbEyZ7ddunFHeT,https://api.spotify.com/v1/tracks/6ui5iWxMFbEyZ7ddunFHeT,https://api.spotify.com/v1/audio-analysis/6ui5iWxMFbEyZ7ddunFHeT,185120,4,To Be a Fossil,Lunch Money,kids
6813,0.903,0.801,2,-5.746,0,0.138,0.179,0.000533,0.0594,0.669,109.991,audio_features,1ANj4HPN75aeq29ZFCA0qN,spotify:track:1ANj4HPN75aeq29ZFCA0qN,https://api.spotify.com/v1/tracks/1ANj4HPN75aeq29ZFCA0qN,https://api.spotify.com/v1/audio-analysis/1ANj4HPN75aeq29ZFCA0qN,161573,4,Animal Dancing,Imagination Movers,kids
6814,0.572,0.0669,1,-17.227,1,0.0789,0.838,0.0133,0.115,0.432,85.999,audio_features,3M4MIFXr1kDcldIon04LDn,spotify:track:3M4MIFXr1kDcldIon04LDn,https://api.spotify.com/v1/tracks/3M4MIFXr1kDcldIon04LDn,https://api.spotify.com/v1/audio-analysis/3M4MIFXr1kDcldIon04LDn,158707,4,Hasta la Victoria Siempre,Suni Paz,kids
6815,0.647,0.831,5,-9.049,1,0.0617,0.003,1.08e-06,0.207,0.963,92.991,audio_features,5sEcHGvEfUa3kXaUh20bxg,spotify:track:5sEcHGvEfUa3kXaUh20bxg,https://api.spotify.com/v1/tracks/5sEcHGvEfUa3kXaUh20bxg,https://api.spotify.com/v1/audio-analysis/5sEcHGvEfUa3kXaUh20bxg,199867,4,Say Hey (I Love You),Kidz Bop Kids,kids
6816,0.706,0.497,0,-13.033,1,0.0302,0.638,0.0,0.0705,0.882,97.647,audio_features,5cVvivemmfG6vaSOAleHOH,spotify:track:5cVvivemmfG6vaSOAleHOH,https://api.spotify.com/v1/tracks/5cVvivemmfG6vaSOAleHOH,https://api.spotify.com/v1/audio-analysis/5cVvivemmfG6vaSOAleHOH,201000,4,Walk Outside,Dan Crow,kids
6817,0.43,0.779,7,-7.314,1,0.0477,0.247,0.0,0.124,0.535,64.868,audio_features,0SO0TmI4vYey0jKBYixyBF,spotify:track:0SO0TmI4vYey0jKBYixyBF,https://api.spotify.com/v1/tracks/0SO0TmI4vYey0jKBYixyBF,https://api.spotify.com/v1/audio-analysis/0SO0TmI4vYey0jKBYixyBF,204067,4,Pirates,Milkshake,kids
6818,0.52,0.62,7,-7.933,1,0.0717,0.3,0.0,0.15,0.766,177.346,audio_features,1Cx2qZoBKjHtbCy3Ip5WFo,spotify:track:1Cx2qZoBKjHtbCy3Ip5WFo,https://api.spotify.com/v1/tracks/1Cx2qZoBKjHtbCy3Ip5WFo,https://api.spotify.com/v1/audio-analysis/1Cx2qZoBKjHtbCy3Ip5WFo,189253,4,Dinosaur Christmas,Wee Hairy Beasties,kids
6819,0.486,0.262,2,-11.864,0,0.0381,0.83,0.0,0.16,0.329,128.764,audio_features,7exER11O6jaBmUWhOvWRGh,spotify:track:7exER11O6jaBmUWhOvWRGh,https://api.spotify.com/v1/tracks/7exER11O6jaBmUWhOvWRGh,https://api.spotify.com/v1/audio-analysis/7exER11O6jaBmUWhOvWRGh,244160,4,Wade in the Water,Ella Jenkins,kids
6820,0.798,0.127,10,-14.074,1,0.0421,0.876,0.0025,0.109,0.608,95.18,audio_features,30DDy5TCb6DJGkOKiUdsER,spotify:track:30DDy5TCb6DJGkOKiUdsER,https://api.spotify.com/v1/tracks/30DDy5TCb6DJGkOKiUdsER,https://api.spotify.com/v1/audio-analysis/30DDy5TCb6DJGkOKiUdsER,202133,4,Night Mantra,Renee & Jeremy,kids
6821,0.709,0.679,7,-5.427,1,0.07,0.0317,0.0,0.103,0.717,117.953,audio_features,2qAdsERZ0SamYGddqOvBWo,spotify:track:2qAdsERZ0SamYGddqOvBWo,https://api.spotify.com/v1/tracks/2qAdsERZ0SamYGddqOvBWo,https://api.spotify.com/v1/audio-analysis/2qAdsERZ0SamYGddqOvBWo,218560,4,Animal Carnaval,"Go, Diego, Go!",kids
6822,0.747,0.361,7,-10.707,1,0.0548,0.822,0.742,0.0918,0.353,144.052,audio_features,4QyEMFfpiEXqV8PzVEaI1r,spotify:track:4QyEMFfpiEXqV8PzVEaI1r,https://api.spotify.com/v1/tracks/4QyEMFfpiEXqV8PzVEaI1r,https://api.spotify.com/v1/audio-analysis/4QyEMFfpiEXqV8PzVEaI1r,266013,4,Karma Police,Rockabye Baby!,kids
6823,0.594,0.505,11,-6.879,0,0.0667,0.837,0.00217,0.355,0.584,131.994,audio_features,7E1Nc4ty1qIFF1C9FOh6PN,spotify:track:7E1Nc4ty1qIFF1C9FOh6PN,https://api.spotify.com/v1/tracks/7E1Nc4ty1qIFF1C9FOh6PN,https://api.spotify.com/v1/audio-analysis/7E1Nc4ty1qIFF1C9FOh6PN,209907,4,The Wonder Pets!,Wonder Pets,kids
6824,0.818,0.632,0,-4.09,1,0.0381,0.132,0.000504,0.546,0.623,122.973,audio_features,6ZfHhdvi9zOxkShVzzzUJB,spotify:track:6ZfHhdvi9zOxkShVzzzUJB,https://api.spotify.com/v1/tracks/6ZfHhdvi9zOxkShVzzzUJB,https://api.spotify.com/v1/audio-analysis/6ZfHhdvi9zOxkShVzzzUJB,139547,4,"Twinkle, Twinkle Little Star",Dora The Explorer,kids
